Date(UTC),UnixTimeStamp,Value,,,
8/15/2021,1628985600,3,,,
8/16/2021,1629072000,3.01,,,
8/17/2021,1629158400,3.01,,,
8/18/2021,1629244800,3,,,
8/19/2021,1629331200,3.03,,,
8/20/2021,1629417600,3.02,,,
8/21/2021,1629504000,3.03,,,
8/22/2021,1629590400,3.01,,,
8/23/2021,1629676800,3.02,,,
8/24/2021,1629763200,3.01,,,
8/25/2021,1629849600,3.02,,,
8/26/2021,1629936000,3,,,
8/27/2021,1630022400,3.12,,,
8/28/2021,1630108800,3.04,,,
8/29/2021,1630195200,3.01,,,
8/30/2021,1630281600,3.06,,,
8/31/2021,1630368000,3.05,,,
9/1/2021,1630454400,3.04,,,
9/2/2021,1630540800,3.03,,,
9/3/2021,1630627200,3.04,,,
9/4/2021,1630713600,3.01,,,
9/5/2021,1630800000,3.01,,,
9/6/2021,1630886400,3.02,,,
9/7/2021,1630972800,3.06,,,
9/8/2021,1631059200,3.03,,,
9/9/2021,1631145600,3.03,,,
9/10/2021,1631232000,3.04,,,
9/11/2021,1631318400,3.03,,,
9/12/2021,1631404800,3,,,
9/13/2021,1631491200,3.01,,,
9/14/2021,1631577600,3.01,,,
9/15/2021,1631664000,3.01,,,
9/16/2021,1631750400,3.01,,,
9/17/2021,1631836800,3,,,
9/18/2021,1631923200,3.01,,,
9/19/2021,1632009600,3.03,,,
9/20/2021,1632096000,3.01,,,
9/21/2021,1632182400,3.02,,,
9/22/2021,1632268800,3.02,,,
9/23/2021,1632355200,3.02,,,
9/24/2021,1632441600,3.01,,,
9/25/2021,1632528000,3.02,,,
9/26/2021,1632614400,3.02,,,
9/27/2021,1632700800,3.03,,,
9/28/2021,1632787200,3.04,,,
9/29/2021,1632873600,3.03,,,
9/30/2021,1632960000,3.03,,,
10/1/2021,1633046400,3.04,,,
10/2/2021,1633132800,3.03,,,
10/3/2021,1633219200,3.01,,,
10/4/2021,1633305600,3,,,
10/5/2021,1633392000,3,,,
10/6/2021,1633478400,3,,,
10/7/2021,1633564800,3,,,
10/8/2021,1633651200,3.01,,,
10/9/2021,1633737600,3.01,,,
10/10/2021,1633824000,3.01,,,
10/11/2021,1633910400,3.09,,,
10/12/2021,1633996800,3.01,,,
10/13/2021,1634083200,3.06,,,
10/14/2021,1634169600,3.01,,,
10/15/2021,1634256000,3.01,,,
10/16/2021,1634342400,3.02,,,
10/17/2021,1634428800,3.02,,,
10/18/2021,1634515200,3.02,,,
10/19/2021,1634601600,3.07,,,
10/20/2021,1634688000,3.02,,,
10/21/2021,1634774400,3.06,,,
10/22/2021,1634860800,3.07,,,
10/23/2021,1634947200,3.02,,,
10/24/2021,1635033600,3.05,,,
10/25/2021,1635120000,3.02,,,
10/26/2021,1635206400,3.02,,,
10/27/2021,1635292800,3.05,,,
10/28/2021,1635379200,3.04,,,
10/29/2021,1635465600,3.11,,,
10/30/2021,1635552000,3.03,,,
10/31/2021,1635638400,3.02,,,
11/1/2021,1635724800,3.1,,,
11/2/2021,1635811200,3.07,,,
11/3/2021,1635897600,3.14,,,
11/4/2021,1635984000,3.11,,,
11/5/2021,1636070400,3.03,,,
11/6/2021,1636156800,3.03,,,
11/7/2021,1636243200,3.01,,,
11/8/2021,1636329600,3.03,,,
11/9/2021,1636416000,3.03,,,
11/10/2021,1636502400,3.14,,,
11/11/2021,1636588800,3.08,,,
11/12/2021,1636675200,3.12,,,
11/13/2021,1636761600,3.07,,,
11/14/2021,1636848000,3.1,,,
11/15/2021,1636934400,3.17,,,
11/16/2021,1637020800,3.18,,,
11/17/2021,1637107200,3.21,,,
11/18/2021,1637193600,3.12,,,
11/19/2021,1637280000,3.13,,,
11/20/2021,1637366400,3.13,,,
11/21/2021,1637452800,3.06,,,
11/22/2021,1637539200,3.08,,,
11/23/2021,1637625600,3.13,,,
11/24/2021,1637712000,3.13,,,
11/25/2021,1637798400,3.25,,,
11/26/2021,1637884800,3.36,,,
11/27/2021,1637971200,3.23,,,
11/28/2021,1638057600,3.23,,,
11/29/2021,1638144000,3.3,,,
11/30/2021,1638230400,3.18,,,
12/1/2021,1638316800,3.24,,,
12/2/2021,1638403200,3.1,,,
12/3/2021,1638489600,3.04,,,
12/4/2021,1638576000,3.04,,,
12/5/2021,1638662400,3.07,,,
12/6/2021,1638748800,3.09,,,
12/7/2021,1638835200,3.19,,,
12/8/2021,1638921600,3.4,,,
12/9/2021,1639008000,3.02,,,
12/10/2021,1639094400,3.03,,,
12/11/2021,1639180800,3,,,
12/12/2021,1639267200,3.01,,,
12/13/2021,1639353600,3.02,,,
12/14/2021,1639440000,3.03,,,
12/15/2021,1639526400,3.01,,,
12/16/2021,1639612800,3.01,,,
12/17/2021,1639699200,3.01,,,
12/18/2021,1639785600,3,,,
12/19/2021,1639872000,3,,,
12/20/2021,1639958400,3,,,
12/21/2021,1640044800,3.07,,,
12/22/2021,1640131200,3.01,,,
12/23/2021,1640217600,3,,,
12/24/2021,1640304000,3,,,
12/25/2021,1640390400,3,,,
12/26/2021,1640476800,3,,,
12/27/2021,1640563200,3.01,,,
12/28/2021,1640649600,3.01,,,
12/29/2021,1640736000,3,,,
12/30/2021,1640822400,3,,,
12/31/2021,1640908800,3,,,
1/1/2022,1640995200,3,,,
1/2/2022,1641081600,3.01,,,
1/3/2022,1641168000,3,,,
1/4/2022,1641254400,3.01,,,
1/5/2022,1641340800,3.01,,,
1/6/2022,1641427200,3,,,
1/7/2022,1641513600,3.01,,,
1/8/2022,1641600000,3,,,
