Date(UTC),UnixTimeStamp,Value
6/27/2021,1624752000,40145
6/28/2021,1624838400,43143
6/29/2021,1624924800,45046
6/30/2021,1625011200,42456
7/1/2021,1625097600,47144
7/2/2021,1625184000,42684
7/3/2021,1625270400,40501
7/4/2021,1625356800,50905
7/5/2021,1625443200,49249
7/6/2021,1625529600,50263
7/7/2021,1625616000,46910
7/8/2021,1625702400,43976
7/9/2021,1625788800,45911
7/10/2021,1625875200,41967
7/11/2021,1625961600,38891
7/12/2021,1626048000,47341
7/13/2021,1626134400,41702
7/14/2021,1626220800,44925
7/15/2021,1626307200,48897
7/16/2021,1626393600,42707
7/17/2021,1626480000,40831
7/18/2021,1626566400,44507
7/19/2021,1626652800,52397
7/20/2021,1626739200,55078
7/21/2021,1626825600,56889
7/22/2021,1626912000,62367
7/23/2021,1626998400,76437
7/24/2021,1627084800,85216
7/25/2021,1627171200,84274
7/26/2021,1627257600,101910
7/27/2021,1627344000,111296
7/28/2021,1627430400,121351
7/29/2021,1627516800,117915
7/30/2021,1627603200,101162
7/31/2021,1627689600,92450
8/1/2021,1627776000,96364
8/2/2021,1627862400,94832
8/3/2021,1627948800,89849
8/4/2021,1628035200,88738
8/5/2021,1628121600,87201
8/6/2021,1628208000,82852
8/7/2021,1628294400,83642
8/8/2021,1628380800,84915
8/9/2021,1628467200,83534
8/10/2021,1628553600,83729
8/11/2021,1628640000,100357
8/12/2021,1628726400,75018
8/13/2021,1628812800,68690
8/14/2021,1628899200,59907
8/15/2021,1628985600,65954
8/16/2021,1629072000,70701
8/17/2021,1629158400,68430
8/18/2021,1629244800,65420
8/19/2021,1629331200,88511
8/20/2021,1629417600,79277
8/21/2021,1629504000,82642
8/22/2021,1629590400,68482
8/23/2021,1629676800,73855
8/24/2021,1629763200,62638
8/25/2021,1629849600,59563
8/26/2021,1629936000,64117
8/27/2021,1630022400,71544
8/28/2021,1630108800,77459
8/29/2021,1630195200,73350
8/30/2021,1630281600,81135
8/31/2021,1630368000,90159
9/1/2021,1630454400,83261
9/2/2021,1630540800,80427
9/3/2021,1630627200,84665
9/4/2021,1630713600,75907
9/5/2021,1630800000,70766
9/6/2021,1630886400,74257
9/7/2021,1630972800,82532
9/8/2021,1631059200,71667
9/9/2021,1631145600,67812
9/10/2021,1631232000,63999
9/11/2021,1631318400,53552
9/12/2021,1631404800,52213
9/13/2021,1631491200,56946
9/14/2021,1631577600,58691
9/15/2021,1631664000,57456
9/16/2021,1631750400,62665
9/17/2021,1631836800,60802
9/18/2021,1631923200,65349
9/19/2021,1632009600,62670
9/20/2021,1632096000,70675
9/21/2021,1632182400,70305
9/22/2021,1632268800,66889
9/23/2021,1632355200,68414
9/24/2021,1632441600,63773
9/25/2021,1632528000,52746
9/26/2021,1632614400,56043
9/27/2021,1632700800,58663
9/28/2021,1632787200,58100
9/29/2021,1632873600,63734
9/30/2021,1632960000,68324
10/1/2021,1633046400,63755
10/2/2021,1633132800,64342
10/3/2021,1633219200,63460
10/4/2021,1633305600,67469
10/5/2021,1633392000,73961
10/6/2021,1633478400,75155
10/7/2021,1633564800,86086
10/8/2021,1633651200,71266
10/9/2021,1633737600,71318
10/10/2021,1633824000,74488
10/11/2021,1633910400,83630
10/12/2021,1633996800,85942
10/13/2021,1634083200,93111
10/14/2021,1634169600,86612
10/15/2021,1634256000,78609
10/16/2021,1634342400,69598
10/17/2021,1634428800,76449
10/18/2021,1634515200,89297
10/19/2021,1634601600,96801
10/20/2021,1634688000,84208
10/21/2021,1634774400,94755
10/22/2021,1634860800,87406
10/23/2021,1634947200,81760
10/24/2021,1635033600,77586
10/25/2021,1635120000,94093
10/26/2021,1635206400,117011
10/27/2021,1635292800,120996
10/28/2021,1635379200,127828
10/29/2021,1635465600,150048
10/30/2021,1635552000,126088
10/31/2021,1635638400,110870
11/1/2021,1635724800,124609
11/2/2021,1635811200,133110
11/3/2021,1635897600,133305
11/4/2021,1635984000,143524
11/5/2021,1636070400,120153
11/6/2021,1636156800,120508
11/7/2021,1636243200,120452
11/8/2021,1636329600,118674
11/9/2021,1636416000,125286
11/10/2021,1636502400,146263
11/11/2021,1636588800,138576
11/12/2021,1636675200,135062
11/13/2021,1636761600,124740
11/14/2021,1636848000,127168
11/15/2021,1636934400,143686
11/16/2021,1637020800,152082
11/17/2021,1637107200,137944
11/18/2021,1637193600,140935
11/19/2021,1637280000,137375
11/20/2021,1637366400,143913
11/21/2021,1637452800,134678
11/22/2021,1637539200,133858
11/23/2021,1637625600,144190
11/24/2021,1637712000,143523
11/25/2021,1637798400,160561
11/26/2021,1637884800,163325
11/27/2021,1637971200,142389
11/28/2021,1638057600,143182
11/29/2021,1638144000,154890
11/30/2021,1638230400,147571
12/1/2021,1638316800,153978
12/2/2021,1638403200,133863
12/3/2021,1638489600,109177
12/4/2021,1638576000,111648
12/5/2021,1638662400,116031
12/6/2021,1638748800,126690
12/7/2021,1638835200,133255
12/8/2021,1638921600,129291
12/9/2021,1639008000,95049
12/10/2021,1639094400,100184
12/11/2021,1639180800,73148
12/12/2021,1639267200,72899
12/13/2021,1639353600,77014
12/14/2021,1639440000,86839
12/15/2021,1639526400,78874
12/16/2021,1639612800,79943
12/17/2021,1639699200,85690
12/18/2021,1639785600,71456
12/19/2021,1639872000,63444
12/20/2021,1639958400,76913
12/21/2021,1640044800,82276
12/22/2021,1640131200,78078
12/23/2021,1640217600,79217
12/24/2021,1640304000,68176
12/25/2021,1640390400,60834
12/26/2021,1640476800,67723
12/27/2021,1640563200,77376
12/28/2021,1640649600,73421
12/29/2021,1640736000,71201
12/30/2021,1640822400,71427
12/31/2021,1640908800,67434
1/1/2022,1640995200,60001
1/2/2022,1641081600,66012
1/3/2022,1641168000,70166
1/4/2022,1641254400,75202
1/5/2022,1641340800,79184
1/6/2022,1641427200,70739
1/7/2022,1641513600,67761
1/8/2022,1641600000,62602
1/9/2022,1641686400,57018
1/10/2022,1641772800,67416
1/11/2022,1641859200,64659
1/12/2022,1641945600,64667
1/13/2022,1642032000,65734
1/14/2022,1642118400,68056
1/15/2022,1642204800,69054
1/16/2022,1642291200,66246
1/17/2022,1642377600,64260
1/18/2022,1642464000,70609
1/19/2022,1642550400,62267
1/20/2022,1642636800,68842
1/21/2022,1642723200,74794
1/22/2022,1642809600,76147
1/23/2022,1642896000,55919
1/24/2022,1642982400,61799
1/25/2022,1643068800,59678
1/26/2022,1643155200,60879
1/27/2022,1643241600,60801
1/28/2022,1643328000,54098
1/29/2022,1643414400,50846
1/30/2022,1643500800,48990
1/31/2022,1643587200,50597
2/1/2022,1643673600,52577
2/2/2022,1643760000,50115
2/3/2022,1643846400,56460
2/4/2022,1643932800,53769
2/5/2022,1644019200,56131
2/6/2022,1644105600,52808
2/7/2022,1644192000,62472
2/8/2022,1644278400,66802
2/9/2022,1644364800,59057
2/10/2022,1644451200,64794
2/11/2022,1644537600,67808
2/12/2022,1644624000,52754
2/13/2022,1644710400,54522
2/14/2022,1644796800,56385
2/15/2022,1644883200,66769
2/16/2022,1644969600,64374
2/17/2022,1645056000,61584
2/18/2022,1645142400,62216
2/19/2022,1645228800,53756
2/20/2022,1645315200,57131
2/21/2022,1645401600,59000
2/22/2022,1645488000,61813
2/23/2022,1645574400,60831
2/24/2022,1645660800,63790
2/25/2022,1645747200,70035
2/26/2022,1645833600,55532
2/27/2022,1645920000,52032
2/28/2022,1646006400,59605
3/1/2022,1646092800,58595
3/2/2022,1646179200,53416
3/3/2022,1646265600,53570
3/4/2022,1646352000,54348
3/5/2022,1646438400,49145
3/6/2022,1646524800,47262
3/7/2022,1646611200,53314
3/8/2022,1646697600,51076
3/9/2022,1646784000,53179
3/10/2022,1646870400,53755
3/11/2022,1646956800,49883
3/12/2022,1647043200,49875
