"Date(UTC)","UnixTimeStamp","Value (Wei)"
"9/17/2021","1631836800","6431171498"
"9/18/2021","1631923200","6281952704"
"9/19/2021","1632009600","6328225763"
"9/20/2021","1632096000","6738604704"
"9/21/2021","1632182400","6605947872"
"9/22/2021","1632268800","6554146985"
"9/23/2021","1632355200","6399847322"
"9/24/2021","1632441600","6641963619"
"9/25/2021","1632528000","6599903742"
"9/26/2021","1632614400","6518883847"
"9/27/2021","1632700800","7101536460"
"9/28/2021","1632787200","6458277451"
"9/29/2021","1632873600","6602462104"
"9/30/2021","1632960000","6342375462"
"10/1/2021","1633046400","6447847104"
"10/2/2021","1633132800","6384699502"
"10/3/2021","1633219200","6104362348"
"10/4/2021","1633305600","6402203028"
"10/5/2021","1633392000","6190537673"
"10/6/2021","1633478400","6335187951"
"10/7/2021","1633564800","6733501579"
"10/8/2021","1633651200","6519914648"
"10/9/2021","1633737600","6225920986"
"10/10/2021","1633824000","6374721754"
"10/11/2021","1633910400","6306810473"
"10/12/2021","1633996800","6568357569"
"10/13/2021","1634083200","6444750149"
"10/14/2021","1634169600","6159929741"
"10/15/2021","1634256000","6434899386"
"10/16/2021","1634342400","6258645846"
"10/17/2021","1634428800","6044262110"
"10/18/2021","1634515200","6117661907"
"10/19/2021","1634601600","5903818541"
"10/20/2021","1634688000","6101052093"
"10/21/2021","1634774400","6173783119"
"10/22/2021","1634860800","6150748723"
"10/23/2021","1634947200","6120212705"
"10/24/2021","1635033600","6026211375"
"10/25/2021","1635120000","6174537294"
"10/26/2021","1635206400","6368394323"
"10/27/2021","1635292800","6688856590"
"10/28/2021","1635379200","6599633373"
"10/29/2021","1635465600","6247217521"
"10/30/2021","1635552000","6569365767"
"10/31/2021","1635638400","6795297289"
"11/1/2021","1635724800","6756569068"
"11/2/2021","1635811200","6714488655"
"11/3/2021","1635897600","6753615682"
"11/4/2021","1635984000","6690600404"
"11/5/2021","1636070400","6273922143"
"11/6/2021","1636156800","6402662608"
"11/7/2021","1636243200","6612039142"
"11/8/2021","1636329600","6485172328"
"11/9/2021","1636416000","6479264401"
"11/10/2021","1636502400","6821217898"
"11/11/2021","1636588800","6334374818"
"11/12/2021","1636675200","6493897592"
"11/13/2021","1636761600","6824367768"
"11/14/2021","1636848000","6422981098"
"11/15/2021","1636934400","6429068883"
"11/16/2021","1637020800","7727774404"
"11/17/2021","1637107200","6591046562"
"11/18/2021","1637193600","6476640629"
"11/19/2021","1637280000","6513896298"
"11/20/2021","1637366400","6287401442"
"11/21/2021","1637452800","6233235763"
"11/22/2021","1637539200","6013015012"
"11/23/2021","1637625600","6446100671"
"11/24/2021","1637712000","6275741453"
"11/25/2021","1637798400","6295761963"
"11/26/2021","1637884800","6319310112"
"11/27/2021","1637971200","6180117524"
"11/28/2021","1638057600","6174415702"
"11/29/2021","1638144000","6308102606"
"11/30/2021","1638230400","6386015819"
"12/1/2021","1638316800","7220561989"
"12/2/2021","1638403200","7654676899"
"12/3/2021","1638489600","6681590749"
"12/4/2021","1638576000","7121921251"
"12/5/2021","1638662400","6274861333"
"12/6/2021","1638748800","6405184552"
"12/7/2021","1638835200","7646033649"
"12/8/2021","1638921600","6457122415"
"12/9/2021","1639008000","6468337970"
"12/10/2021","1639094400","7513313030"
"12/11/2021","1639180800","6415503583"
"12/12/2021","1639267200","6159458550"
"12/13/2021","1639353600","6568074224"
"12/14/2021","1639440000","6419149728"
"12/15/2021","1639526400","6755845491"
"12/16/2021","1639612800","6939326676"
"12/17/2021","1639699200","7674122903"
"12/18/2021","1639785600","6777600485"
"12/19/2021","1639872000","6900010267"
"12/20/2021","1639958400","6909561135"
"12/21/2021","1640044800","7118426197"
"12/22/2021","1640131200","6752358788"
"12/23/2021","1640217600","6844154528"
"12/24/2021","1640304000","6513703020"
"12/25/2021","1640390400","6362199995"
"12/26/2021","1640476800","6439783251"
"12/27/2021","1640563200","6444396867"
"12/28/2021","1640649600","6990423862"
"12/29/2021","1640736000","6666474218"
"12/30/2021","1640822400","6754189556"
"12/31/2021","1640908800","6748972818"
"1/1/2022","1640995200","6825252000"
"1/2/2022","1641081600","6757159415"
"1/3/2022","1641168000","6644424233"
"1/4/2022","1641254400","6965796686"
"1/5/2022","1641340800","6942618345"
"1/6/2022","1641427200","6944948551"
"1/7/2022","1641513600","6865274026"
"1/8/2022","1641600000","6969308165"
"1/9/2022","1641686400","6883940711"
"1/10/2022","1641772800","7123371701"
"1/11/2022","1641859200","7121559699"
"1/12/2022","1641945600","6814737348"
"1/13/2022","1642032000","6813917932"
"1/14/2022","1642118400","6738206463"
"1/15/2022","1642204800","6728753615"
"1/16/2022","1642291200","6999673350"
"1/17/2022","1642377600","6438186980"
"1/18/2022","1642464000","6483391580"
"1/19/2022","1642550400","6316039965"
"1/20/2022","1642636800","6834166907"
"1/21/2022","1642723200","6943443599"
"1/22/2022","1642809600","7429353462"
"1/23/2022","1642896000","6542774466"
"1/24/2022","1642982400","6951107474"
"1/25/2022","1643068800","6818485349"
"1/26/2022","1643155200","6885801411"
"1/27/2022","1643241600","7314692856"
"1/28/2022","1643328000","6479284580"
"1/29/2022","1643414400","6497837247"
"1/30/2022","1643500800","6503550091"
"1/31/2022","1643587200","6961577458"
"2/1/2022","1643673600","6718285162"
"2/2/2022","1643760000","6522771111"
"2/3/2022","1643846400","6286209125"
"2/4/2022","1643932800","6760167561"
"2/5/2022","1644019200","6541066345"
"2/6/2022","1644105600","6291104369"
"2/7/2022","1644192000","6762895572"
"2/8/2022","1644278400","6657036983"
"2/9/2022","1644364800","6590885919"
"2/10/2022","1644451200","6837409047"
"2/11/2022","1644537600","6879142459"
"2/12/2022","1644624000","6579357217"
"2/13/2022","1644710400","6517459191"
"2/14/2022","1644796800","6458648923"
"2/15/2022","1644883200","6351447198"
"2/16/2022","1644969600","6498025184"
"2/17/2022","1645056000","6473131599"
"2/18/2022","1645142400","7120493695"
"2/19/2022","1645228800","6478067511"
"2/20/2022","1645315200","6589957561"
"2/21/2022","1645401600","6552371671"
"2/22/2022","1645488000","7020729785"
"2/23/2022","1645574400","7067171511"
"2/24/2022","1645660800","6985996299"
"2/25/2022","1645747200","7036757973"
"2/26/2022","1645833600","6464020212"
"2/27/2022","1645920000","6831097608"
"2/28/2022","1646006400","7615672073"
"3/1/2022","1646092800","6894371593"
"3/2/2022","1646179200","6470445426"
"3/3/2022","1646265600","7018510846"
"3/4/2022","1646352000","6430334648"
"3/5/2022","1646438400","6730917973"
"3/6/2022","1646524800","6607306148"
"3/7/2022","1646611200","6522761809"
"3/8/2022","1646697600","6564000254"
"3/9/2022","1646784000","6680149910"
"3/10/2022","1646870400","6597906968"
"3/11/2022","1646956800","6739273621"
"3/12/2022","1647043200","6784478066"
"3/13/2022","1647129600","6788261419"
"3/14/2022","1647216000","6713738207"
"3/15/2022","1647302400","6666081126"
"3/16/2022","1647388800","6598812772"
"3/17/2022","1647475200","7177541963"
"3/18/2022","1647561600","6753141083"
"3/19/2022","1647648000","7645601230"
"3/20/2022","1647734400","7724853571"
"3/21/2022","1647820800","7023869929"
"3/22/2022","1647907200","7236074508"
"3/23/2022","1647993600","6876465780"
"3/24/2022","1648080000","6945672659"
"3/25/2022","1648166400","6693218115"
"3/26/2022","1648252800","6659830721"
"3/27/2022","1648339200","6637594601"
"3/28/2022","1648425600","7000328701"
"3/29/2022","1648512000","7022524923"
"3/30/2022","1648598400","7088446354"
"3/31/2022","1648684800","6819763327"
"4/1/2022","1648771200","7044488268"
"4/2/2022","1648857600","6939536613"
"4/3/2022","1648944000","6886423598"
"4/4/2022","1649030400","6810274274"
"4/5/2022","1649116800","6620081721"
"4/6/2022","1649203200","6688190391"
"4/7/2022","1649289600","6894161287"
"4/8/2022","1649376000","7028736943"
"4/9/2022","1649462400","7085440169"
"4/10/2022","1649548800","7125318052"
"4/11/2022","1649635200","7245629077"
"4/12/2022","1649721600","7077349086"
"4/13/2022","1649808000","7076130472"
"4/14/2022","1649894400","7355795296"
"4/15/2022","1649980800","7193242726"
"4/16/2022","1650067200","7468777155"
"4/17/2022","1650153600","7103176811"
"4/18/2022","1650240000","6966629656"
"4/19/2022","1650326400","6879264552"
"4/20/2022","1650412800","6793403447"
"4/21/2022","1650499200","6979842983"
"4/22/2022","1650585600","6793868867"
"4/23/2022","1650672000","6450068252"
"4/24/2022","1650758400","6630263401"
"4/25/2022","1650844800","6858597825"
"4/26/2022","1650931200","7047591927"
"4/27/2022","1651017600","6923040384"
"4/28/2022","1651104000","7343348406"
"4/29/2022","1651190400","7424004205"
"4/30/2022","1651276800","7145368332"
"5/1/2022","1651363200","6896245404"
"5/2/2022","1651449600","7019358953"
"5/3/2022","1651536000","6770502512"
"5/4/2022","1651622400","6969794943"
"5/5/2022","1651708800","6904211426"
"5/6/2022","1651795200","6899770781"
"5/7/2022","1651881600","6734912026"
"5/8/2022","1651968000","6873359439"
"5/9/2022","1652054400","7214996390"
"5/10/2022","1652140800","7475594791"
"5/11/2022","1652227200","8268875158"
"5/12/2022","1652313600","7792918016"
"5/13/2022","1652400000","7024016726"
"5/14/2022","1652486400","6494212388"
"5/15/2022","1652572800","6671203255"
"5/16/2022","1652659200","7073857193"
"5/17/2022","1652745600","6888530718"
"5/18/2022","1652832000","6971754711"
"5/19/2022","1652918400","6831510714"
"5/20/2022","1653004800","6729216615"
"5/21/2022","1653091200","6545652942"
"5/22/2022","1653177600","6380630541"
"5/23/2022","1653264000","6919503926"
"5/24/2022","1653350400","6536323652"
"5/25/2022","1653436800","6819635958"
"5/26/2022","1653523200","6680627326"
"5/27/2022","1653609600","6571831491"
"5/28/2022","1653696000","6822243150"
"5/29/2022","1653782400","8886813379"
"5/30/2022","1653868800","6776908617"
"5/31/2022","1653955200","6891699396"
"6/1/2022","1654041600","6807853348"
"6/2/2022","1654128000","6794854367"
"6/3/2022","1654214400","6418852495"
"6/4/2022","1654300800","6488394138"
"6/5/2022","1654387200","6579726262"
"6/6/2022","1654473600","6735595138"
"6/7/2022","1654560000","6765142231"
"6/8/2022","1654646400","6658879995"
"6/9/2022","1654732800","7330841063"
"6/10/2022","1654819200","6719738835"
"6/11/2022","1654905600","7007960504"
"6/12/2022","1654992000","6797235401"
"6/13/2022","1655078400","7150585881"
"6/14/2022","1655164800","7601269164"
"6/15/2022","1655251200","7415451520"
"6/16/2022","1655337600","6621037439"
"6/17/2022","1655424000","6426561800"
"6/18/2022","1655510400","7087739509"
"6/19/2022","1655596800","6720386815"
"6/20/2022","1655683200","6667687459"
"6/21/2022","1655769600","6640600493"
"6/22/2022","1655856000","6623369157"
"6/23/2022","1655942400","6578641334"
"6/24/2022","1656028800","6345959239"
"6/25/2022","1656115200","6254517013"
"6/26/2022","1656201600","6309535995"
"6/27/2022","1656288000","6563037911"
"6/28/2022","1656374400","6779116519"
"6/29/2022","1656460800","6677676023"
"6/30/2022","1656547200","6874886582"
"7/1/2022","1656633600","6736904509"
"7/2/2022","1656720000","6663781388"
"7/3/2022","1656806400","7188981398"
"7/4/2022","1656892800","7031888536"
"7/5/2022","1656979200","6614932956"
"7/6/2022","1657065600","6629966274"
"7/7/2022","1657152000","6658936950"
"7/8/2022","1657238400","7018677500"
"7/9/2022","1657324800","6509567613"
"7/10/2022","1657411200","6565817989"
"7/11/2022","1657497600","6578839662"
"7/12/2022","1657584000","6531377128"
"7/13/2022","1657670400","6897917417"
"7/14/2022","1657756800","7077356723"
"7/15/2022","1657843200","7735269075"
"7/16/2022","1657929600","6595471719"
"7/17/2022","1658016000","6951675004"
"7/18/2022","1658102400","7054131543"
"7/19/2022","1658188800","6958715446"
"7/20/2022","1658275200","7287688116"
"7/21/2022","1658361600","6946946614"
"7/22/2022","1658448000","6935374595"
"7/23/2022","1658534400","6734846178"
"7/24/2022","1658620800","7476252969"
"7/25/2022","1658707200","7256576201"
"7/26/2022","1658793600","6908326160"
"7/27/2022","1658880000","8032363548"
"7/28/2022","1658966400","7187770700"
"7/29/2022","1659052800","6847373884"
"7/30/2022","1659139200","6808355038"
"7/31/2022","1659225600","6951472640"
"8/1/2022","1659312000","6999450042"
"8/2/2022","1659398400","7262052258"
"8/3/2022","1659484800","6964190138"
"8/4/2022","1659571200","7052437469"
"8/5/2022","1659657600","6944051843"
"8/6/2022","1659744000","7076345044"
"8/7/2022","1659830400","6873173730"
"8/8/2022","1659916800","6824406850"
